controller,n,seed,placed,completed,mwt,mean_time_loss,mean_in_system,departed,action_hold,action_expert,action_override
max_pressure,800,4,800,797,63.3375156838143,129.27930991217065,121.85345545378851,797,0,0,0
max_pressure,800,5,800,800,69.18375,141.2159125,129.3180682764363,800,0,0,0
max_pressure,800,6,800,791,77.50063211125158,155.39289506953224,138.55453788509575,791,0,0,0
max_pressure,800,7,800,797,68.46675031367629,146.3520451693852,128.95170691090757,797,0,0,0
max_pressure,800,8,800,787,73.49301143583227,150.5159212198221,133.9600333055787,787,0,0,0
max_pressure,800,9,800,800,67.05125,134.6562375,122.19733555370524,800,0,0,0
max_pressure,1000,0,1000,930,196.76774193548388,367.8054946236559,272.9167360532889,930,0,0,0
max_pressure,1000,1,1000,935,149.57326203208555,311.4729304812834,260.24562864279767,935,0,0,0
max_pressure,1000,2,1000,726,236.35537190082644,392.6510055096419,287.1207327227311,879,0,0,0
max_pressure,1000,3,1000,459,234.61873638344227,351.6654684095861,338.5120732722731,836,0,0,0
max_pressure,1000,4,1000,932,164.16309012875536,310.83746781115883,246.95004163197336,932,0,0,0
max_pressure,1000,5,1000,937,154.74493062966917,302.0483137673426,240.3022481265612,937,0,0,0
max_pressure,1000,6,1000,637,222.71899529042386,367.9905023547881,305.57785179017486,895,0,0,0
max_pressure,1000,7,1000,924,134.1504329004329,273.47612554112555,227.54288093255622,924,0,0,0
max_pressure,1000,8,1000,920,147.1108695652174,309.52277173913046,252.51623646960866,920,0,0,0
max_pressure,1000,9,1000,635,171.6267716535433,290.71894488188974,271.5961698584513,911,0,0,0
max_pressure,1300,0,1300,282,111.2482269503546,204.4617730496454,433.3788509575354,854,0,0,0
max_pressure,1300,1,1300,250,94.688,174.8166,439.0391340549542,828,0,0,0
max_pressure,1300,2,1300,304,135.30921052631578,238.75480263157897,432.9558701082431,869,0,0,0
max_pressure,1300,3,1300,249,80.6144578313253,160.69385542168672,450.6527893422148,835,0,0,0
max_pressure,1300,4,1300,340,112.46764705882353,208.32750000000001,413.5795170691091,887,0,0,0
max_pressure,1300,5,1300,315,92.31428571428572,180.96069841269843,427.04329725228973,888,0,0,0
max_pressure,1300,6,1300,296,103.375,197.0670945945946,427.3105745212323,855,0,0,0
max_pressure,1300,7,1300,287,97.87108013937282,181.7849825783972,429.8393005828476,855,0,0,0
max_pressure,1300,8,1300,347,95.57636887608069,185.68544668587896,423.72522897585344,912,0,0,0
max_pressure,1300,9,1300,348,106.36206896551724,207.02977011494252,415.4171523730225,914,0,0,0
max_pressure,1700,0,1700,150,99.60666666666667,173.61046666666667,512.1282264779351,755,0,0,0
